Date,Open,High,Low,Close
1972-03-15,14637.71677419355,14637.71677419355,14637.71677419355,14637.71677419355
1972-03-16,14643.098709677419,14643.098709677419,14643.098709677419,14643.098709677419
1972-03-17,14657.207741935485,14657.207741935485,14657.207741935485,14657.207741935485
1972-03-20,14695.68064516129,14695.68064516129,14695.68064516129,14695.68064516129
1972-03-21,14696.189677419356,14696.189677419356,14696.189677419356,14696.189677419356
1972-03-22,14705.935161290325,14705.935161290325,14705.935161290325,14705.935161290325
1972-03-23,14706.912903225808,14706.912903225808,14706.912903225808,14706.912903225808
1972-03-24,14734.687096774194,14734.687096774194,14734.687096774194,14734.687096774194
1972-03-27,14777.128387096773,14777.128387096773,14777.128387096773,14777.128387096773
1972-03-28,14800.572580645161,14800.572580645161,14800.572580645161,14800.572580645161
1972-03-29,14855.332903225806,14855.332903225806,14855.332903225806,14855.332903225806
1972-03-30,14865.13193548387,14865.13193548387,14865.13193548387,14865.13193548387
1972-03-31,14901.863225806452,14901.863225806452,14901.863225806452,14901.863225806452
1972-04-03,15024.516,15024.516,15024.516,15024.516
1972-04-04,15126.512000000002,15126.512000000002,15126.512000000002,15126.512000000002
1972-04-05,15196.968,15196.968,15196.968,15196.968
1972-04-06,15244.0,15244.0,15244.0,15244.0
1972-04-07,15221.142,15221.142,15221.142,15221.142
1972-04-10,15347.188,15347.188,15347.188,15347.188
1972-04-11,15417.300000000001,15417.300000000001,15417.300000000001,15417.300000000001
1972-04-12,15484.416000000001,15484.416000000001,15484.416000000001,15484.416000000001
1972-04-13,15552.098,15552.098,15552.098,15552.098
1972-04-14,15631.704,15631.704,15631.704,15631.704
1972-04-17,15794.154,15794.154,15794.154,15794.154
1972-04-18,15845.235999999999,15845.235999999999,15845.235999999999,15845.235999999999
1972-04-19,15934.644,15934.644,15934.644,15934.644
1972-04-20,15999.983999999999,15999.983999999999,15999.983999999999,15999.983999999999
1972-04-21,16070.13,16070.13,16070.13,16070.13
1972-04-24,16356.576000000001,16356.576000000001,16356.576000000001,16356.576000000001
1972-04-25,16372.416,16372.416,16372.416,16372.416
1972-04-26,16403.579999999998,16403.579999999998,16403.579999999998,16403.579999999998
1972-04-27,16489.266000000003,16489.266000000003,16489.266000000003,16489.266000000003
1972-04-28,16585.471999999998,16585.471999999998,16585.471999999998,16585.471999999998
1972-05-01,16742.550000000003,16742.550000000003,16742.550000000003,16742.550000000003
1972-05-02,16801.347096774196,16801.347096774196,16801.347096774196,16801.347096774196
1972-05-03,16875.03483870968,16875.03483870968,16875.03483870968,16875.03483870968
1972-05-04,16938.74129032258,16938.74129032258,16938.74129032258,16938.74129032258
1972-05-05,17012.469677419354,17012.469677419354,17012.469677419354,17012.469677419354
1972-05-08,17260.491612903224,17260.491612903224,17260.491612903224,17260.491612903224
1972-05-09,17324.263548387098,17324.263548387098,17324.263548387098,17324.263548387098
1972-05-10,17324.689032258062,17324.689032258062,17324.689032258062,17324.689032258062
1972-05-11,17382.40322580645,17382.40322580645,17382.40322580645,17382.40322580645
1972-05-12,17467.049032258066,17467.049032258066,17467.049032258066,17467.049032258066
1972-05-15,17699.643870967742,17699.643870967742,17699.643870967742,17699.643870967742
1972-05-16,17773.61612903226,17773.61612903226,17773.61612903226,17773.61612903226
1972-05-17,17848.21516129032,17848.21516129032,17848.21516129032,17848.21516129032
1972-05-18,17922.270967741937,17922.270967741937,17922.270967741937,17922.270967741937
1972-05-19,17957.975483870967,17957.975483870967,17957.975483870967,17957.975483870967
1972-05-22,18186.042580645164,18186.042580645164,18186.042580645164,18186.042580645164
1972-05-23,18243.98612903226,18243.98612903226,18243.98612903226,18243.98612903226
1972-05-24,18318.100645161292,18318.100645161292,18318.100645161292,18318.100645161292
1972-05-25,18386.81806451613,18386.81806451613,18386.81806451613,18386.81806451613
1972-05-26,18460.993548387098,18460.993548387098,18460.993548387098,18460.993548387098
1972-05-30,18793.18451612903,18793.18451612903,18793.18451612903,18793.18451612903
1972-05-31,18821.979032258063,18821.979032258063,18821.979032258063,18821.979032258063
1972-06-01,18873.420000000002,18873.420000000002,18873.420000000002,18873.420000000002
1972-06-02,18902.824,18902.824,18902.824,18902.824
1972-06-05,19053.281333333332,19053.281333333332,19053.281333333332,19053.281333333332
1972-06-06,19082.626666666667,19082.626666666667,19082.626666666667,19082.626666666667
1972-06-07,19116.948,19116.948,19116.948,19116.948
1972-06-08,19151.872,19151.872,19151.872,19151.872
1972-06-09,19186.772,19186.772,19186.772,19186.772
1972-06-12,19326.234666666667,19326.234666666667,19326.234666666667,19326.234666666667
1972-06-13,19336.944000000003,19336.944000000003,19336.944000000003,19336.944000000003
1972-06-14,19371.746666666666,19371.746666666666,19371.746666666666,19371.746666666666
1972-06-15,19418.021333333334,19418.021333333334,19418.021333333334,19418.021333333334
1972-06-16,19452.8,19452.8,19452.8,19452.8
1972-06-19,19568.584000000003,19568.584000000003,19568.584000000003,19568.584000000003
1972-06-20,19579.41333333333,19579.41333333333,19579.41333333333,19579.41333333333
1972-06-21,19590.120000000003,19590.120000000003,19590.120000000003,19590.120000000003
1972-06-22,19574.136,19574.136,19574.136,19574.136
1972-06-23,19098.192000000003,19098.192000000003,19098.192000000003,19098.192000000003
1972-06-26,19502.653333333332,19502.653333333332,19502.653333333332,19502.653333333332
1972-06-27,19542.45466666667,19542.45466666667,19542.45466666667,19542.45466666667
1972-06-28,19466.144,19466.144,19466.144,19466.144
1972-06-29,19769.3,19769.3,19769.3,19769.3
1972-06-30,19821.255999999998,19821.255999999998,19821.255999999998,19821.255999999998
1972-07-03,19874.849032258062,19874.849032258062,19874.849032258062,19874.849032258062
1972-07-05,19840.693548387095,19840.693548387095,19840.693548387095,19840.693548387095
1972-07-06,19886.099032258062,19886.099032258062,19886.099032258062,19886.099032258062
1972-07-07,19919.62451612903,19919.62451612903,19919.62451612903,19919.62451612903
1972-07-10,19973.27419354839,19973.27419354839,19973.27419354839,19973.27419354839
1972-07-11,20000.90064516129,20000.90064516129,20000.90064516129,20000.90064516129
1972-07-12,19986.07741935484,19986.07741935484,19986.07741935484,19986.07741935484
1972-07-13,19983.843870967743,19983.843870967743,19983.843870967743,19983.843870967743
1972-07-14,20005.509677419355,20005.509677419355,20005.509677419355,20005.509677419355
1972-07-17,20022.685161290323,20022.685161290323,20022.685161290323,20022.685161290323
1972-07-18,20014.427419354837,20014.427419354837,20014.427419354837,20014.427419354837
1972-07-19,20054.090322580643,20054.090322580643,20054.090322580643,20054.090322580643
1972-07-20,20045.820967741936,20045.820967741936,20045.820967741936,20045.820967741936
1972-07-21,20067.524516129033,20067.524516129033,20067.524516129033,20067.524516129033
1972-07-24,20102.67096774193,20102.67096774193,20102.67096774193,20102.67096774193
